route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible,bikes_allowed
76-10493,2019-COMBNXT-Saturday-01,35967071-2019-COMBNXT-Saturday-01,Calwell,1,760018,1,1
76-10493,2019-COMBNXT-Saturday-01,35967072-2019-COMBNXT-Saturday-01,Calwell,1,760018,1,1
76-10493,2019-COMBNXT-Saturday-01,35967073-2019-COMBNXT-Saturday-01,Calwell,1,760018,1,1
76-10493,2019-COMBNXT-Saturday-01,35967074-2019-COMBNXT-Saturday-01,Calwell,1,760018,1,1
76-10493,2019-COMBNXT-Saturday-01,35967075-2019-COMBNXT-Saturday-01,Calwell,1,760018,1,1
76-10493,2019-COMBNXT-Saturday-01,35967076-2019-COMBNXT-Saturday-01,Calwell,1,760018,1,1
76-10493,2019-COMBNXT-Saturday-01,35967077-2019-COMBNXT-Saturday-01,Calwell,1,760018,1,1
76-10493,2019-COMBNXT-Saturday-01,35967078-2019-COMBNXT-Saturday-01,Calwell,1,760018,1,1
76-10493,2019-COMBNXT-Saturday-01,35967079-2019-COMBNXT-Saturday-01,Calwell,1,760018,1,1
76-10493,2019-COMBNXT-Saturday-01,35967080-2019-COMBNXT-Saturday-01,Calwell,1,760018,1,1
76-10493,2019-COMBNXT-Saturday-01,35967081-2019-COMBNXT-Saturday-01,Calwell,1,760018,1,1
76-10493,2019-COMBNXT-Saturday-01,35967082-2019-COMBNXT-Saturday-01,Calwell,1,760018,1,1
