route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible,bikes_allowed
65-10493,2019-COMBNXT-Saturday-01,35966893-2019-COMBNXT-Saturday-01,Weston Creek,1,650093,1,1
65-10493,2019-COMBNXT-Saturday-01,35966894-2019-COMBNXT-Saturday-01,Weston Creek,1,650093,1,1
65-10493,2019-COMBNXT-Saturday-01,35966895-2019-COMBNXT-Saturday-01,Weston Creek,1,650093,1,1
65-10493,2019-COMBNXT-Saturday-01,35966896-2019-COMBNXT-Saturday-01,Weston Creek,1,650093,1,1
65-10493,2019-COMBNXT-Saturday-01,35966897-2019-COMBNXT-Saturday-01,Weston Creek,1,650093,1,1
65-10493,2019-COMBNXT-Saturday-01,35966898-2019-COMBNXT-Saturday-01,Weston Creek,1,650093,1,1
65-10493,2019-COMBNXT-Saturday-01,35966899-2019-COMBNXT-Saturday-01,Weston Creek,1,650093,1,1
65-10493,2019-COMBNXT-Saturday-01,35966900-2019-COMBNXT-Saturday-01,Weston Creek,1,650093,1,1
65-10493,2019-COMBNXT-Saturday-01,35966901-2019-COMBNXT-Saturday-01,Weston Creek,1,650093,1,1
65-10493,2019-COMBNXT-Saturday-01,35966902-2019-COMBNXT-Saturday-01,Weston Creek,1,650093,1,1
65-10493,2019-COMBNXT-Saturday-01,35966903-2019-COMBNXT-Saturday-01,Weston Creek,1,650093,1,1
65-10493,2019-COMBNXT-Saturday-01,35966904-2019-COMBNXT-Saturday-01,Weston Creek,1,650093,1,1
65-10493,2019-COMBNXT-Saturday-01,35966905-2019-COMBNXT-Saturday-01,Weston Creek,1,650093,1,1
65-10493,2019-COMBNXT-Saturday-01,35966906-2019-COMBNXT-Saturday-01,Weston Creek,1,650093,1,1
65-10493,2019-COMBNXT-Saturday-01,35966907-2019-COMBNXT-Saturday-01,Weston Creek,1,650093,1,1
65-10493,2019-COMBNXT-Saturday-01,35966908-2019-COMBNXT-Saturday-01,Weston Creek,1,650093,1,1
65-10493,2019-COMBNXT-Saturday-01,35966909-2019-COMBNXT-Saturday-01,Weston Creek,1,650093,1,1
66-10493,2019-COMBNXT-Saturday-01,35966910-2019-COMBNXT-Saturday-01,Woden,0,660137,1,1
66-10493,2019-COMBNXT-Saturday-01,35966911-2019-COMBNXT-Saturday-01,Woden,0,660137,1,1
66-10493,2019-COMBNXT-Saturday-01,35966912-2019-COMBNXT-Saturday-01,Woden,0,660137,1,1
66-10493,2019-COMBNXT-Saturday-01,35966913-2019-COMBNXT-Saturday-01,Woden,0,660137,1,1
66-10493,2019-COMBNXT-Saturday-01,35966914-2019-COMBNXT-Saturday-01,Woden,0,660137,1,1
66-10493,2019-COMBNXT-Saturday-01,35966915-2019-COMBNXT-Saturday-01,Woden,0,660137,1,1
66-10493,2019-COMBNXT-Saturday-01,35966916-2019-COMBNXT-Saturday-01,Woden,0,660137,1,1
66-10493,2019-COMBNXT-Saturday-01,35966917-2019-COMBNXT-Saturday-01,Woden,0,660137,1,1
66-10493,2019-COMBNXT-Saturday-01,35966918-2019-COMBNXT-Saturday-01,Woden,0,660137,1,1
66-10493,2019-COMBNXT-Saturday-01,35966919-2019-COMBNXT-Saturday-01,Woden,0,660137,1,1
66-10493,2019-COMBNXT-Saturday-01,35966920-2019-COMBNXT-Saturday-01,Woden,0,660137,1,1
66-10493,2019-COMBNXT-Saturday-01,35966921-2019-COMBNXT-Saturday-01,Woden,0,660137,1,1
66-10493,2019-COMBNXT-Saturday-01,35966922-2019-COMBNXT-Saturday-01,Woden,0,660137,1,1
66-10493,2019-COMBNXT-Saturday-01,35966923-2019-COMBNXT-Saturday-01,Woden,0,660137,1,1
66-10493,2019-COMBNXT-Saturday-01,35966924-2019-COMBNXT-Saturday-01,Woden,0,660137,1,1
66-10493,2019-COMBNXT-Saturday-01,35966925-2019-COMBNXT-Saturday-01,Woden,0,660137,1,1
