route_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color,route_url
70-10493,70,"Tuggeranong to Woden via Kambah West & Cooleman Ct",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
71-10493,71,"Tuggeranong to Woden via Kambah East & Cooleman Ct",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
72-10493,72,"Erindale Loop via Oxley & Monash",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
73-10493,73,"Erindale Loop via Monash & Oxley",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
74-10493,74,"Chisholm Loop via Erindale & Richardson",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
75-10493,75,"Chisholm Loop via Richardson & Erindale",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
76-10493,76,"Calwell to Tuggeranong via Chisholm & Erindale",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
77-10493,77,"Erindale to Tuggeranong via Gowrie & Monash",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
78-10493,78,"Chisholm to Tugg via Isabella Plains & Bonython",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
79-10493,79,"Calwell to Tugg via Theodore & Isabella Plains",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
80-10493,80,"Lanyon to Tuggeranong via Condor & Banks",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
81-10493,81,"Lanyon to Tuggeranong via Gordon & Bonython",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
180-10493,180,"Lanyon to City West via Condor & Banks",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
181-10493,181,"Lanyon to City West via Banks & Gordon",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
182-10493,182,"Lanyon to City West via Calwell & Chisholm",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
