Arrival Delay,Arrival Time,Arrival Uncertainty,Departure Delay,Departure Time,Departure Uncertainty, Schedule Relationship,Stop ID,Stop Sequence,Trip ID,Request Timestamp,Delay
-38,2019-06-03 11:43:22,0,-38,2019-06-03 11:43:22,0,SCHEDULED,8129,13,179,2019-06-03 17:02:15,0
-35,2019-06-03 12:13:25,0,-35,2019-06-03 12:13:25,0,SCHEDULED,8100,13,58,2019-06-03 17:02:15,0
27,2019-06-03 12:44:27,0,27,2019-06-03 12:44:27,0,SCHEDULED,8129,13,185,2019-06-03 17:02:15,0
-35,2019-06-03 13:13:25,0,-35,2019-06-03 13:13:25,0,SCHEDULED,8100,13,64,2019-06-03 17:02:15,0
26,2019-06-03 13:44:26,0,26,2019-06-03 13:44:26,0,SCHEDULED,8129,13,191,2019-06-03 17:02:15,0
-45,2019-06-03 14:13:15,0,-45,2019-06-03 14:13:15,0,SCHEDULED,8100,13,70,2019-06-03 17:02:15,0
20,2019-06-03 14:44:20,0,20,2019-06-03 14:44:20,0,SCHEDULED,8129,13,197,2019-06-03 17:02:15,0
49,2019-06-03 15:14:49,0,49,2019-06-03 15:14:49,0,SCHEDULED,8100,13,76,2019-06-03 17:02:15,0
19,2019-06-03 15:44:19,0,19,2019-06-03 15:44:19,0,SCHEDULED,8129,13,203,2019-06-03 17:02:15,0
13,2019-06-03 16:14:13,0,13,2019-06-03 16:14:13,0,SCHEDULED,8100,13,86,2019-06-03 17:02:15,0
6,2019-06-03 16:48:06,0,6,2019-06-03 16:48:06,0,SCHEDULED,8129,13,215,2019-06-03 17:02:15,0
-33,2019-06-03 17:02:08,0,-33,2019-06-03 17:02:28,0,SCHEDULED,8119,6,96,2019-06-03 17:02:15,0
0,2019-06-03 17:24:00,1,0,2019-06-03 17:24:00,1,SCHEDULED,8100,1,225,2019-06-03 17:02:15,0
0,2019-06-03 17:54:00,1,0,2019-06-03 17:54:00,1,SCHEDULED,8129,1,106,2019-06-03 17:02:15,0
0,2019-06-03 18:21:00,1,0,2019-06-03 18:21:00,1,SCHEDULED,8100,1,239,2019-06-03 17:02:15,0
28,2019-06-03 06:24:28,0,28,2019-06-03 06:24:28,0,SCHEDULED,8100,13,5,2019-06-03 17:02:15,0
-6,2019-06-03 06:53:54,0,-6,2019-06-03 06:53:54,0,SCHEDULED,8129,13,137,2019-06-03 17:02:15,0
124,2019-06-03 07:26:04,0,124,2019-06-03 07:26:04,0,SCHEDULED,8100,13,15,2019-06-03 17:02:15,0
18,2019-06-03 07:54:18,0,18,2019-06-03 07:54:18,0,SCHEDULED,8129,13,146,2019-06-03 17:02:15,0
34,2019-06-03 08:24:34,0,34,2019-06-03 08:24:34,0,SCHEDULED,8100,13,27,2019-06-03 17:02:15,0
71,2019-06-03 08:55:11,0,71,2019-06-03 08:55:11,0,SCHEDULED,8129,13,156,2019-06-03 17:02:15,0
-27,2019-06-03 09:23:33,0,-27,2019-06-03 09:23:33,0,SCHEDULED,8100,13,37,2019-06-03 17:02:15,0
54,2019-06-03 09:54:54,0,54,2019-06-03 09:54:54,0,SCHEDULED,8129,13,168,2019-06-03 17:02:15,0
8,2019-06-03 10:24:08,0,8,2019-06-03 10:24:08,0,SCHEDULED,8100,13,47,2019-06-03 17:02:15,0
19,2019-06-03 10:54:19,0,19,2019-06-03 10:54:19,0,SCHEDULED,8129,13,174,2019-06-03 17:02:15,0
30,2019-06-03 11:24:30,0,30,2019-06-03 11:24:30,0,SCHEDULED,8100,13,53,2019-06-03 17:02:15,0
-5,2019-06-03 11:53:55,0,-5,2019-06-03 11:53:55,0,SCHEDULED,8129,13,180,2019-06-03 17:02:15,0
12,2019-06-03 12:24:12,0,12,2019-06-03 12:24:12,0,SCHEDULED,8100,13,59,2019-06-03 17:02:15,0
11,2019-06-03 12:54:11,0,11,2019-06-03 12:54:11,0,SCHEDULED,8129,13,186,2019-06-03 17:02:15,0
-1,2019-06-03 13:23:59,0,-1,2019-06-03 13:23:59,0,SCHEDULED,8100,13,65,2019-06-03 17:02:15,0
37,2019-06-03 13:54:37,0,37,2019-06-03 13:54:37,0,SCHEDULED,8129,13,192,2019-06-03 17:02:15,0
-19,2019-06-03 14:23:41,0,-19,2019-06-03 14:23:41,0,SCHEDULED,8100,13,71,2019-06-03 17:02:15,0
40,2019-06-03 14:54:40,0,40,2019-06-03 14:54:40,0,SCHEDULED,8129,13,198,2019-06-03 17:02:15,0
53,2019-06-03 15:24:53,0,53,2019-06-03 15:24:53,0,SCHEDULED,8100,13,77,2019-06-03 17:02:15,0
49,2019-06-03 15:54:49,0,49,2019-06-03 15:54:49,0,SCHEDULED,8129,13,204,2019-06-03 17:02:15,0
84,2019-06-03 16:25:24,0,84,2019-06-03 16:25:24,0,SCHEDULED,8100,13,87,2019-06-03 17:02:15,0
87,2019-06-03 16:55:27,0,87,2019-06-03 16:55:27,0,SCHEDULED,8129,13,216,2019-06-03 17:02:15,0
-20,2019-06-03 17:01:34,0,-20,2019-06-03 17:01:54,0,SCHEDULED,8127,2,97,2019-06-03 17:02:15,0
0,2019-06-03 17:30:00,1,0,2019-06-03 17:30:00,1,SCHEDULED,8100,1,226,2019-06-03 17:02:15,0
0,2019-06-03 18:00:00,1,0,2019-06-03 18:00:00,1,SCHEDULED,8129,1,107,2019-06-03 17:02:15,0
0,2019-06-03 18:30:00,1,0,2019-06-03 18:30:00,1,SCHEDULED,8100,1,241,2019-06-03 17:02:15,0
0,2019-06-03 19:00:00,1,0,2019-06-03 19:00:00,1,SCHEDULED,8129,1,113,2019-06-03 17:02:15,0
0,2019-06-03 19:30:00,1,0,2019-06-03 19:30:00,1,SCHEDULED,8100,1,245,2019-06-03 17:02:15,0
0,2019-06-03 20:00:00,1,0,2019-06-03 20:00:00,1,SCHEDULED,8129,1,117,2019-06-03 17:02:15,0
0,2019-06-03 20:30:00,1,0,2019-06-03 20:30:00,1,SCHEDULED,8100,1,249,2019-06-03 17:02:15,0
0,2019-06-03 21:00:00,1,0,2019-06-03 21:00:00,1,SCHEDULED,8129,1,121,2019-06-03 17:02:15,0
0,2019-06-03 21:30:00,1,0,2019-06-03 21:30:00,1,SCHEDULED,8100,1,253,2019-06-03 17:02:15,0
0,2019-06-03 22:00:00,1,0,2019-06-03 22:00:00,1,SCHEDULED,8129,1,125,2019-06-03 17:02:15,0
0,2019-06-03 22:30:00,1,0,2019-06-03 22:30:00,1,SCHEDULED,8100,1,257,2019-06-03 17:02:15,0
0,2019-06-03 23:00:00,1,0,2019-06-03 23:00:00,1,SCHEDULED,8129,1,129,2019-06-03 17:02:15,0
0,2019-06-03 23:30:00,1,0,2019-06-03 23:30:00,1,SCHEDULED,8100,1,262,2019-06-03 17:02:15,0
-7,2019-06-03 06:12:22,0,-7,2019-06-03 06:12:22,0,SCHEDULED,8129,8,134,2019-06-03 17:02:15,0
59,2019-06-03 06:39:59,0,59,2019-06-03 06:39:59,0,SCHEDULED,8100,13,6,2019-06-03 17:02:15,0
199,2019-06-03 07:12:19,0,199,2019-06-03 07:12:19,0,SCHEDULED,8129,13,140,2019-06-03 17:02:15,0
-17,2019-06-03 07:43:43,0,-17,2019-06-03 07:43:43,0,SCHEDULED,8100,13,21,2019-06-03 17:02:15,0
16,2019-06-03 08:18:16,0,16,2019-06-03 08:18:16,0,SCHEDULED,8129,13,150,2019-06-03 17:02:15,0
-32,2019-06-03 08:47:28,0,-32,2019-06-03 08:47:28,0,SCHEDULED,8100,13,31,2019-06-03 17:02:15,0
26,2019-06-03 09:18:26,0,26,2019-06-03 09:18:26,0,SCHEDULED,8129,13,160,2019-06-03 17:02:15,0
49,2019-06-03 09:34:49,0,49,2019-06-03 09:34:49,0,SCHEDULED,8115,8,42,2019-06-03 17:02:15,0
101,2019-06-03 07:00:41,0,101,2019-06-03 07:00:41,0,SCHEDULED,8100,5,9,2019-06-03 17:02:15,0
46,2019-06-03 07:30:46,0,46,2019-06-03 07:30:46,0,SCHEDULED,8129,13,142,2019-06-03 17:02:15,0
75,2019-06-03 08:01:15,0,75,2019-06-03 08:01:15,0,SCHEDULED,8100,13,23,2019-06-03 17:02:15,0
109,2019-06-03 08:31:49,0,109,2019-06-03 08:31:49,0,SCHEDULED,8129,13,152,2019-06-03 17:02:15,0
0,2019-06-03 09:00:00,0,0,2019-06-03 09:00:00,0,SCHEDULED,8100,13,33,2019-06-03 17:02:15,0
14,2019-06-03 09:34:14,0,14,2019-06-03 09:34:14,0,SCHEDULED,8129,13,162,2019-06-03 17:02:15,0
-13,2019-06-03 10:03:47,0,-13,2019-06-03 10:03:47,0,SCHEDULED,8100,13,45,2019-06-03 17:02:15,0
17,2019-06-03 10:34:17,0,17,2019-06-03 10:34:17,0,SCHEDULED,8129,13,172,2019-06-03 17:02:15,0
114,2019-06-03 11:05:54,0,114,2019-06-03 11:05:54,0,SCHEDULED,8100,13,51,2019-06-03 17:02:15,0
45,2019-06-03 11:34:45,0,45,2019-06-03 11:34:45,0,SCHEDULED,8129,13,178,2019-06-03 17:02:15,0
-10,2019-06-03 12:03:50,0,-10,2019-06-03 12:03:50,0,SCHEDULED,8100,13,57,2019-06-03 17:02:15,0
32,2019-06-03 12:34:32,0,32,2019-06-03 12:34:32,0,SCHEDULED,8129,13,184,2019-06-03 17:02:15,0
16,2019-06-03 13:04:16,0,16,2019-06-03 13:04:16,0,SCHEDULED,8100,13,63,2019-06-03 17:02:15,0
11,2019-06-03 13:34:11,0,11,2019-06-03 13:34:11,0,SCHEDULED,8129,13,190,2019-06-03 17:02:15,0
-4,2019-06-03 14:03:56,0,-4,2019-06-03 14:03:56,0,SCHEDULED,8100,13,69,2019-06-03 17:02:15,0
3,2019-06-03 14:34:03,0,3,2019-06-03 14:34:03,0,SCHEDULED,8129,13,196,2019-06-03 17:02:15,0
30,2019-06-03 15:04:30,0,30,2019-06-03 15:04:30,0,SCHEDULED,8100,13,75,2019-06-03 17:02:15,0
67,2019-06-03 15:35:07,0,67,2019-06-03 15:35:07,0,SCHEDULED,8129,13,202,2019-06-03 17:02:15,0
46,2019-06-03 16:04:46,0,46,2019-06-03 16:04:46,0,SCHEDULED,8100,13,83,2019-06-03 17:02:15,0
15,2019-06-03 16:36:15,0,15,2019-06-03 16:36:15,0,SCHEDULED,8129,13,213,2019-06-03 17:02:15,0
84,2019-06-03 17:02:01,0,84,2019-06-03 17:02:21,0,SCHEDULED,8109,10,94,2019-06-03 17:02:15,0
0,2019-06-03 17:12:00,1,0,2019-06-03 17:12:00,1,SCHEDULED,8100,1,223,2019-06-03 17:02:15,0
0,2019-06-03 17:42:00,1,0,2019-06-03 17:42:00,1,SCHEDULED,8129,1,104,2019-06-03 17:02:15,0
0,2019-06-03 18:15:00,1,0,2019-06-03 18:15:00,1,SCHEDULED,8100,1,236,2019-06-03 17:02:15,0
0,2019-06-03 18:45:00,1,0,2019-06-03 18:45:00,1,SCHEDULED,8129,1,112,2019-06-03 17:02:15,0
0,2019-06-03 19:15:00,1,0,2019-06-03 19:15:00,1,SCHEDULED,8100,1,244,2019-06-03 17:02:15,0
0,2019-06-03 19:45:00,1,0,2019-06-03 19:45:00,1,SCHEDULED,8129,1,116,2019-06-03 17:02:15,0
0,2019-06-03 20:15:00,1,0,2019-06-03 20:15:00,1,SCHEDULED,8100,1,248,2019-06-03 17:02:15,0
0,2019-06-03 20:45:00,1,0,2019-06-03 20:45:00,1,SCHEDULED,8129,1,120,2019-06-03 17:02:15,0
0,2019-06-03 21:15:00,1,0,2019-06-03 21:15:00,1,SCHEDULED,8100,1,252,2019-06-03 17:02:15,0
0,2019-06-03 21:45:00,1,0,2019-06-03 21:45:00,1,SCHEDULED,8129,1,124,2019-06-03 17:02:15,0
0,2019-06-03 22:15:00,1,0,2019-06-03 22:15:00,1,SCHEDULED,8100,1,256,2019-06-03 17:02:15,0
0,2019-06-03 22:45:00,1,0,2019-06-03 22:45:00,1,SCHEDULED,8129,1,128,2019-06-03 17:02:15,0
